team_id,team,year,wins,losses,win_%,singles,doubles,triples,home_runs,walks,sac_fly,sac_bunt,strikeouts,outs,r_o_error,runs,plate_appearances,sing/pa,doub/pa,trip/pa,hr/pa,hits,ab,avg,obs,slugging,ops,so_%,hr_%,walk_%,hits_to_run
201501,chn,2015,97,65,0.5987654320987654,819,286,37,134,455,30,35,1431,2298,69,689,5594,0.1464068644976761,0.051126206649982124,0.006614229531641044,0.023954236682159458,1276,5005,0.2549450549450549,0.3153005464480874,0.4071928071928072,0.7224933536408946,0.25580979621022526,0.023954236682159458,0.08133714694315337,1.8519593613933236
201502,sea,2015,77,85,0.47530864197530864,941,285,23,181,564,35,32,1285,2449,55,656,5850,0.16085470085470085,0.04871794871794872,0.003931623931623932,0.03094017094017094,1430,5164,0.2769171185127808,0.3460003470414715,0.44616576297443844,0.7921661100159099,0.21965811965811965,0.03094017094017094,0.09641025641025641,2.1798780487804876
201503,mia,2015,71,91,0.4382716049382716,926,278,29,141,560,55,50,1152,2397,36,613,5624,0.16465149359886203,0.049431009957325744,0.005156472261735419,0.025071123755334282,1374,4923,0.2790981109079829,0.349223546406645,0.43327239488117003,0.782495941287815,0.20483641536273114,0.025071123755334282,0.09957325746799431,2.2414355628058726
201504,tba,2015,80,82,0.49382716049382713,888,232,19,175,525,40,27,1357,2389,54,644,5706,0.15562565720294427,0.04065895548545391,0.0033298282509638976,0.030669470732562217,1314,5060,0.25968379446640316,0.32693333333333335,0.416798418972332,0.7437317523056654,0.23781983876621102,0.030669470732562217,0.09200841219768664,2.040372670807453
201505,phi,2015,63,99,0.3888888888888889,1068,300,33,191,552,41,46,1153,2429,71,626,5884,0.18150917743031952,0.05098572399728076,0.005608429639700884,0.03246091094493542,1592,5174,0.3076923076923077,0.3717704178949194,0.4891766524932354,0.8609470703881548,0.19595513256288238,0.03246091094493542,0.0938137321549966,2.5431309904153356
201506,kca,2015,95,67,0.5864197530864198,916,262,39,155,541,44,28,1160,2555,43,724,5743,0.15949851993731498,0.04562075570259446,0.006790875848859481,0.026989378373672296,1372,5087,0.26970709652054253,0.33727080394922426,0.4279536072341262,0.7652244111833505,0.20198502524812817,0.026989378373672296,0.0942016367752046,1.8950276243093922
201507,hou,2015,86,76,0.5308641975308642,871,252,37,148,466,38,27,1280,2444,48,729,5611,0.1552307966494386,0.04491178043129567,0.006594189983960079,0.026376759935840315,1308,5032,0.2599364069952305,0.3204479768786127,0.4129570747217806,0.7334050516003934,0.22812332917483513,0.026376759935840315,0.08305114952771342,1.794238683127572
201508,mil,2015,68,94,0.41975308641975306,936,287,33,176,574,42,48,1260,2316,57,655,5729,0.16337929830685985,0.05009600279280852,0.005760167568511084,0.03072089369872578,1432,5008,0.28594249201277955,0.3566856330014225,0.4618610223642173,0.8185466553656398,0.21993367079769593,0.03072089369872578,0.10019200558561704,2.186259541984733
201509,det,2015,74,87,0.45962732919254656,958,280,60,193,535,44,44,1100,2550,55,689,5819,0.1646330984705276,0.04811823337343186,0.010311050008592542,0.03316721086097268,1491,5141,0.29002139661544446,0.3541958041958042,0.48045127407119237,0.8346470782669966,0.1890359168241966,0.03316721086097268,0.09194019590995016,2.1640058055152394
201510,was,2015,83,79,0.5123456790123457,953,239,29,145,420,37,52,1344,2267,49,703,5535,0.17217705510388437,0.04317976513098464,0.0052393857271906055,0.026196928635953028,1366,4977,0.27446252762708456,0.32867132867132864,0.4215390797669279,0.7502104084382566,0.24281842818428184,0.026196928635953028,0.07588075880758807,1.9431009957325747
